candidate_id,design_id,design_index,activity_pair,topology,distance_a,doping,angle_deg,variant_id,score,max_force_ev_per_a,complete_profile_count,retained_profile_activities
ff87b8d1,x16,16,Glucose Oxidase + Oxidase,independent adjacent,8.8,N,75,x16_adjacent_d8.8_n_a75,0.7820164393005788,0.0495856411773396,2,Glucose Oxidase; Oxidase
7c1572c8,x16,16,Glutathione Peroxidase + Oxidase,independent adjacent,8.8,N,75,x16_adjacent_d8.8_n_a75,0.7751575607639989,0.0472200086112643,2,Glutathione Peroxidase; Oxidase
1147bd17,x16,16,Glutathione Peroxidase + Peroxidase,independent adjacent,8.8,N,75,x16_adjacent_d8.8_n_a75,0.779642814544885,0.0391047187442731,2,Glutathione Peroxidase; Peroxidase
d0ee8b98,x16,16,Oxidase + Peroxidase,independent adjacent,8.8,N,75,x16_adjacent_d8.8_n_a75,0.779642814544885,0.0391047187442731,2,Oxidase; Peroxidase
33a6ea13,x16,16,Catalase + Glutathione Peroxidase,independent separated,12.0,N,75,x16_separated_d12.0_n_a75,0.7563008113436678,0.0469176480076517,2,Catalase; Glutathione Peroxidase
937196b3,x16,16,Catalase + Oxidase,independent separated,12.0,N,75,x16_separated_d12.0_n_a75,0.7563008113436678,0.0469176480076517,2,Catalase; Oxidase
d3b8fed5,x16,16,Glutathione Peroxidase + Oxidase,independent separated,12.0,N,75,x16_separated_d12.0_n_a75,0.7117523110621027,0.0475780214882089,2,Glutathione Peroxidase; Oxidase
4cce34b2,x17,17,Oxidase + Peroxidase,bridged,7.6,NS,105,x17_bridged_d7.6_ns_a105,0.6719887097721401,0.0486715223939532,2,Oxidase; Peroxidase
e3fd0119,x17,17,Glutathione Peroxidase + Oxidase,independent adjacent,9.2,S,105,x17_adjacent_d9.2_s_a105,0.7589611527281492,0.0498992320306291,2,Glutathione Peroxidase; Oxidase
e0cd31ae,x17,17,Glutathione Peroxidase + Peroxidase,independent adjacent,9.2,S,105,x17_adjacent_d9.2_s_a105,0.7657656944558495,0.0494346510256475,2,Glutathione Peroxidase; Peroxidase
9557875a,x17,17,Oxidase + Peroxidase,independent adjacent,9.2,S,105,x17_adjacent_d9.2_s_a105,0.7657656944558495,0.0494346510256475,2,Oxidase; Peroxidase
83ccba7e,x17,17,Catalase + Peroxidase,independent separated,13.0,NS,105,x17_separated_d13.0_ns_a105,0.7674268704995748,0.0499165562112098,2,Catalase; Peroxidase
324f14f5,x17,17,Glutathione Peroxidase + Peroxidase,independent separated,13.0,NS,105,x17_separated_d13.0_ns_a105,0.7610213236926583,0.0400481082038799,2,Glutathione Peroxidase; Peroxidase
77a7b144,x17,17,Oxidase + Peroxidase,independent separated,13.0,NS,105,x17_separated_d13.0_ns_a105,0.7610213236926583,0.0400481082038799,2,Oxidase; Peroxidase
a009cc05,x19,19,Glutathione Peroxidase + Oxidase,independent adjacent,10.4,N,15,x19_adjacent_d10.4_n_a15,0.7356466239051384,0.0499921761899505,2,Glutathione Peroxidase; Oxidase
8de672d0,x19,19,Glutathione Peroxidase + Oxidase,independent separated,14.6,N,15,x19_separated_d14.6_n_a15,0.7028794989734736,0.0482526815281951,2,Glutathione Peroxidase; Oxidase
ab534c30,x19,19,Glutathione Peroxidase + Peroxidase,independent separated,14.6,N,15,x19_separated_d14.6_n_a15,0.7050384689857184,0.0486279128311497,2,Glutathione Peroxidase; Peroxidase
0f467492,x19,19,Oxidase + Peroxidase,independent separated,14.6,N,15,x19_separated_d14.6_n_a15,0.7050384689857184,0.0486279128311497,2,Oxidase; Peroxidase
c134acbe,x20,20,Catalase + Glutathione Peroxidase,independent adjacent,6.2,N,45,x20_adjacent_d6.2_n_a45,0.7261656092063944,0.0389914028654469,2,Catalase; Glutathione Peroxidase
ed63c308,x20,20,Catalase + Oxidase,independent adjacent,6.2,N,45,x20_adjacent_d6.2_n_a45,0.7261656092063944,0.0389914028654469,2,Catalase; Oxidase
89743efe,x20,20,Catalase + Peroxidase,independent adjacent,6.2,N,45,x20_adjacent_d6.2_n_a45,0.7281605783901766,0.0376382113057904,2,Catalase; Peroxidase
10881684,x20,20,Glutathione Peroxidase + Oxidase,independent adjacent,6.2,N,45,x20_adjacent_d6.2_n_a45,0.6990580851591767,0.045796298078177,2,Glutathione Peroxidase; Oxidase
cb6a0baf,x20,20,Glutathione Peroxidase + Peroxidase,independent adjacent,6.2,N,45,x20_adjacent_d6.2_n_a45,0.7014018834997138,0.0498407819570961,2,Glutathione Peroxidase; Peroxidase
a164ecde,x20,20,Oxidase + Peroxidase,independent adjacent,6.2,N,45,x20_adjacent_d6.2_n_a45,0.7014018834997138,0.0498407819570961,2,Oxidase; Peroxidase
8828f789,x20,20,Catalase + Glutathione Peroxidase,independent separated,8.8,N,45,x20_separated_d8.8_n_a45,0.7702264809970791,0.0364550401651696,2,Catalase; Glutathione Peroxidase
7dbb8378,x20,20,Catalase + Oxidase,independent separated,8.8,N,45,x20_separated_d8.8_n_a45,0.7702264809970791,0.0364550401651696,2,Catalase; Oxidase
52e70cee,x20,20,Catalase + Peroxidase,independent separated,8.8,N,45,x20_separated_d8.8_n_a45,0.7688037411069062,0.0457597118710252,2,Catalase; Peroxidase
445ecd99,x20,20,Glucose Oxidase + Glutathione Peroxidase,independent separated,8.8,N,45,x20_separated_d8.8_n_a45,0.7643492601885404,0.0430888824771564,2,Glucose Oxidase; Glutathione Peroxidase
ac78230b,x20,20,Glucose Oxidase + Oxidase,independent separated,8.8,N,45,x20_separated_d8.8_n_a45,0.7643492601885404,0.0430888824771564,2,Glucose Oxidase; Oxidase
97a889c9,x20,20,Glutathione Peroxidase + Oxidase,independent separated,8.8,N,45,x20_separated_d8.8_n_a45,0.7457705692235291,0.04079836591388,2,Glutathione Peroxidase; Oxidase
40a34f3b,x20,20,Glutathione Peroxidase + Peroxidase,independent separated,8.8,N,45,x20_separated_d8.8_n_a45,0.7441726411084308,0.0485155991340531,2,Glutathione Peroxidase; Peroxidase
f7a85d5f,x20,20,Oxidase + Peroxidase,independent separated,8.8,N,45,x20_separated_d8.8_n_a45,0.7441726411084308,0.0485155991340531,2,Oxidase; Peroxidase
6b6d60b0,x21,21,Catalase + Oxidase,bridged,5.8,NS,75,x21_bridged_d5.8_ns_a75,0.7709690848808621,0.0496302428344888,2,Catalase; Oxidase
babc42dd,x21,21,Oxidase + Peroxidase,bridged,5.8,NS,75,x21_bridged_d5.8_ns_a75,0.7046797261273935,0.046952550000309,2,Oxidase; Peroxidase
383785f2,x21,21,Catalase + Glutathione Peroxidase,independent separated,9.8,NS,75,x21_separated_d9.8_ns_a75,0.7523595840883148,0.0487899422916002,2,Catalase; Glutathione Peroxidase
1be9a0ce,x21,21,Catalase + Oxidase,independent separated,9.8,NS,75,x21_separated_d9.8_ns_a75,0.7523595840883148,0.0487899422916002,2,Catalase; Oxidase
f7128d92,x21,21,Catalase + Peroxidase,independent separated,9.8,NS,75,x21_separated_d9.8_ns_a75,0.7867869847664679,0.0397976538119046,2,Catalase; Peroxidase
242dc5ee,x21,21,Glutathione Peroxidase + Oxidase,independent separated,9.8,NS,75,x21_separated_d9.8_ns_a75,0.686118164765252,0.0440248346278759,2,Glutathione Peroxidase; Oxidase
